"Name";"Color";"Rarity";"# Seen";"ALSA";"# Picked";"ATA";"# GP";"% GP";"GP WR"
"Lash of the Balrog";"B";"C";"234012";"3.82";"54347";"5.12";"291031";"87.2%";"56.1%"
"Lobelia Sackville-Baggins";"B";"R";"17839";"2.42";"5656";"2.71";"28656";"84.3%";"54.4%"
"March from the Black Gate";"B";"U";"51086";"2.47";"19655";"2.82";"109666";"89.7%";"56.8%"
"Mirkwood Bats";"B";"C";"285450";"4.93";"38053";"7.29";"140182";"60.8%";"54.0%"
"Mordor Muster";"B";"C";"240247";"3.88";"64069";"5.09";"361262";"90.1%";"57.4%"
"Mordor Trebuchet";"B";"C";"307846";"5.49";"37910";"8.24";"114978";"50.0%";"53.6%"
"Morgul-Knife Wound";"B";"C";"337374";"6.25";"39649";"9.48";"88787";"36.3%";"55.1%"
"Nasty End";"B";"C";"327703";"5.71";"52747";"8.22";"196886";"60.7%";"55.2%"
"Nazgûl";"B";"U";"39267";"2.01";"23096";"2.10";"135764";"92.5%";"58.8%"
"Oath of the Grey Host";"B";"U";"80091";"3.68";"19219";"4.72";"89423";"76.3%";"55.4%"
"One Ring to Rule Them All";"B";"R";"17275";"2.47";"5208";"2.71";"22994";"74.6%";"52.9%"
"Orcish Bowmasters";"B";"R";"9060";"1.30";"7825";"1.29";"47982";"93.0%";"62.0%"
"Orcish Medicine";"B";"C";"337886";"6.16";"43636";"9.29";"106975";"39.7%";"55.1%"
"Sam's Desperate Rescue";"B";"C";"309774";"5.33";"62915";"7.28";"284505";"72.5%";"57.1%"
"Sauron, the Necromancer";"B";"R";"10464";"1.52";"6412";"1.51";"34970";"89.9%";"55.2%"
"Shadow of the Enemy";"B";"M";"13790";"3.74";"2178";"5.14";"4429";"34.2%";"51.8%"
"Shelob's Ambush";"B";"C";"333347";"5.91";"62298";"8.16";"250685";"64.2%";"58.0%"
"Snarling Warg";"B";"C";"351066";"6.63";"44121";"9.86";"85243";"31.4%";"55.3%"
"The Torment of Gollum";"B";"C";"249946";"4.44";"74630";"5.36";"400047";"84.7%";"58.3%"
"Troll of Khazad-dûm";"B";"C";"251449";"4.12";"59127";"5.54";"326252";"88.5%";"56.9%"
"Uruk-hai Berserker";"B";"C";"243102";"3.97";"63499";"5.17";"358379";"89.9%";"57.6%"
"Voracious Fell Beast";"B";"U";"49820";"2.44";"24091";"2.64";"137179";"90.4%";"58.2%"
"Witch-king of Angmar";"B";"M";"4187";"1.19";"3673";"1.18";"22437";"94.3%";"59.3%"
"Battle-Scarred Goblin";"R";"C";"316469";"5.49";"53947";"7.78";"235901";"70.2%";"56.7%"
"Book of Mazarbul";"R";"U";"65603";"3.06";"21638";"3.62";"118748";"87.2%";"58.0%"
"Breaking of the Fellowship";"R";"C";"318716";"5.59";"50797";"8.01";"189930";"60.4%";"56.1%"
